NGCNGC/IC;MES-cat;RightAsc.(2000);0;Decl.(2000);0
NGC493;0;1;22;0;56
NGC494;0;1;22;33;10
NGC495;0;1;22;33;28
NGC496;0;1;23;33;31
NGC497;0;1;22;0;52
NGC498;0;1;23;33;29
NGC499;0;1;23;33;27
NGC500;0;1;22;5;23
NGC501;0;1;23;33;25
NGC502;0;1;22;9;2
NGC503;0;1;23;33;19
NGC504;0;1;23;33;12
NGC505;0;1;22;9;28
NGC506;0;1;23;33;14
NGC507;0;1;23;33;15
NGC508;0;1;23;33;16
NGC509;0;1;23;9;25
NGC510;0;1;23;33;29
NGC511;0;1;23;11;17
NGC512;0;1;23;33;54
NGC513;0;1;24;33;47
NGC514;0;1;24;12;55
NGC515;0;1;24;33;28
NGC516;0;1;24;9;33
NGC517;0;1;24;33;25
NGC518;0;1;24;9;19
NGC519;0;1;24;-1;38
NGC520;0;1;24;3;47
NGC521;0;1;24;1;43
NGC522;0;1;24;9;59
NGC523;0;1;25;34;1
NGC524;0;1;24;9;32
NGC525;0;1;24;9;42
NGC526;0;1;23;-35;4
NGC526;0;1;23;-35;3
NGC527;0;1;23;-35;6
NGC527;0;1;23;-35;7
NGC528;0;1;25;33;40
NGC529;0;1;25;34;42
NGC530;0;1;24;-1;35
NGC531;0;1;26;34;45
NGC532;0;1;25;9;15
NGC533;0;1;25;1;45
NGC534;0;1;24;-38;7
NGC535;0;1;25;-1;24
NGC536;0;1;26;34;42
NGC537;0;1;25;34;1
NGC538;0;1;25;-1;33
NGC539;0;1;25;-18;9
NGC540;0;1;27;-20;2
NGC541;0;1;25;-1;22
NGC542;0;1;26;34;40
NGC543;0;1;25;-1;17
NGC544;0;1;25;-38;5
NGC545;0;1;25;-1;20
NGC546;0;1;25;-38;4
NGC547;0;1;26;-1;20
NGC548;0;1;26;-1;13
NGC549;0;1;25;-38;0
NGC550;0;1;26;2;1
NGC551;0;1;27;37;10
NGC552;0;1;26;33;24
NGC553;0;1;26;33;24
NGC554;0;1;27;-22;43
NGC554;0;1;27;-22;43
NGC555;0;1;27;-22;45
NGC556;0;1;27;-22;41
NGC557;0;1;26;-1;38
